Date,zone,'19-',20-29,30-39,40-49,50-59,60-69,70-79,80-89,'90+'
2021-08-20,1,3,5,1,1,1,0,0,0,0
2021-08-20,2,4,2,2,1,0,0,0,0,0
2021-08-20,3,5,2,1,0,2,1,0,0,0
2021-08-20,4,0,1,0,0,0,0,0,0,0
2021-08-20,5,0,0,0,0,0,0,0,0,0
2021-08-20,6,0,0,0,0,0,0,0,0,0
2021-08-20,7,1,0,0,0,0,0,0,1,0
2021-08-23,1,11,5,7,1,2,4,0,0,0
2021-08-23,2,1,0,1,2,0,0,0,0,0
2021-08-23,3,8,3,1,2,1,1,0,0,0
2021-08-23,4,0,0,0,1,0,0,0,0,0
2021-08-23,5,0,0,0,0,0,0,0,0,0
2021-08-23,6,0,1,0,0,0,0,0,0,0
2021-08-23,7,2,0,0,0,1,2,0,1,0
2021-08-24,1,4,2,3,1,0,0,0,0,0
2021-08-24,2,0,0,0,0,0,0,0,0,0
2021-08-24,3,2,0,0,0,0,0,0,0,0
2021-08-24,4,0,0,0,0,0,0,0,0,0
2021-08-24,5,0,0,0,0,0,0,0,0,0
2021-08-24,6,0,0,0,0,0,0,0,0,0
2021-08-24,7,0,0,0,0,0,1,1,1,0
2021-08-25,1,1,0,1,1,1,0,0,0,0
2021-08-25,2,0,0,1,1,0,0,0,0,0
2021-08-25,3,0,0,0,0,1,0,0,0,0
2021-08-25,4,0,0,0,0,0,0,0,0,0
2021-08-25,5,0,0,0,0,0,0,0,0,0
2021-08-25,6,0,2,0,0,0,0,0,0,0
2021-08-25,7,0,0,0,0,1,0,0,0,0
2021-08-26,1,1,3,1,0,0,1,0,0,0
2021-08-26,2,0,0,0,0,0,0,0,0,0
2021-08-26,3,0,0,1,1,0,0,0,0,0
2021-08-26,4,0,0,0,0,0,0,0,0,0
2021-08-26,5,0,0,0,0,0,0,0,0,0
2021-08-26,6,0,0,0,0,0,0,0,0,0
2021-08-26,7,0,0,0,0,0,0,0,0,0
2021-08-27,1,2,1,2,2,2,1,1,0,0
2021-08-27,2,0,1,0,0,0,0,0,0,0
2021-08-27,3,0,0,1,0,0,0,0,0,0
2021-08-27,4,2,0,0,1,0,0,0,0,0
2021-08-27,5,0,0,0,0,0,0,0,0,0
2021-08-27,6,0,0,0,0,0,0,0,0,0
2021-08-27,7,0,0,0,0,0,0,0,0,0
2021-08-30,1,4,0,1,2,0,1,0,0,0
2021-08-30,2,0,0,1,0,0,0,0,0,0
2021-08-30,3,0,5,7,2,1,0,2,0,0
2021-08-30,4,4,0,2,1,3,0,0,0,0
2021-08-30,5,0,2,0,0,0,0,0,0,0
2021-08-30,6,0,0,0,0,0,1,0,0,0
2021-08-30,7,0,0,0,0,0,0,0,0,0
2021-08-31,1,0,1,0,0,0,0,0,0,0
2021-08-31,2,2,0,0,0,0,0,0,0,0
2021-08-31,3,0,0,0,0,0,0,0,0,0
2021-08-31,4,0,0,0,0,0,0,0,0,0
2021-08-31,5,0,0,0,0,0,0,0,0,0
2021-08-31,6,0,0,0,0,0,0,0,0,0
2021-08-31,7,0,0,0,0,0,0,0,0,0
2021-09-01,1,0,3,2,0,0,0,0,0,0
2021-09-01,2,0,0,0,0,0,0,0,0,0
2021-09-01,3,1,0,1,0,0,0,0,0,0
2021-09-01,4,1,0,0,0,0,0,0,0,0
