Date,Deaths,cases,Cases-vac,Cases-unv,hospital_total,ICU_total,
2021-08-20,0,34,4,30,1,0,
2021-08-23,0,58,9,49,3,0,3 day period
2021-08-24,0,15,NA,NA,3,0,
2021-08-25,0,10,NA,NA,3,0,
2021-08-26,0,8,NA,NA,4,0,
2021-08-27,0,16,1,15,3,0,
2021-08-28,0,17,NA,NA,NA,NA,
2021-08-29,0,10,NA,NA,NA,NA,
2021-08-30,0,12,NA,NA,3,1,
2021-08-31,0,3,NA,NA,3,1,
2021-09-01,0,11,NA,NA,3,1,
2021-09-02,0,10,NA,NA,3,1,
2021-09-03,0,14,NA,NA,3,2,
2021-09-04,NA,13,NA,NA,NA,NA,
2021-09-05,NA,13,NA,NA,NA,NA,
2021-09-06,NA,15,NA,NA,NA,NA,
2021-09-07,1,13,NA,NA,4,3,zone 1 70-79
2021-09-08,0,16,NA,NA,5,4,
2021-09-09,0,17,NA,NA,6,4,
2021-09-10,0,24,2,22,6,3,
2021-09-11,0,51,NA,NA,NA,NA,over the weekend
2021-09-12,0,39,NA,NA,NA,NA,breakdown of daily numbers
2021-09-13,0,32,17,105,11,9,
2021-09-14,0,35,5,30,11,8,
2021-09-15,1,63,11,52,12,7,zone 7 60-69
2021-09-16,0,51,4,47,15,9,
2021-09-17,0,57,16,41,17,10,
2021-09-20,0,199,47,152,23,14,
2021-09-21,0,65,17,48,24,15,
2021-09-22,1,76,18,58,26,15,zone 3 80-89
2021-09-23,0,52,13,39,27,12,
2021-09-24,3,78,19,59,31,15,zone 1 70-79, zone 1 80-89, zone 4 90+
2021-09-25,1,61,9,52,32,13,zone 3 70-79
2021-09-26,1,82,18,64,33,15,death zone 1 40-49
2021-09-27,0,86,19,67,41,16,
2021-09-28,2,68,10,58,40,16,death zone 3 80-89, zone 4 80-89
2021-09-29,1,84,17,67,40,16,death zone 1 90+
2021-09-30,2,99,27,72,40,16,death zone 3 40-49, zone 4 60-69
2021-10-01,1,85,17,68,41,15,Death zone 1 90+
2021-10-02,4,140,34,106,44,17,death zone 1 70-79, zone 3 30-39, zone 3 70-79, zone 4 50-59
2021-10-03,2,93,19,74,45,20,death zone 2 70-79 and zone 4 50-59
2021-10-04,2,75,22,53,49,21,death zone 1 90+ and zone 1 80-89
2021-10-05,1,90,NA,NA,50,23,death zone 4 80-89
2021-10-06,1,71,14,57,51,25,zone 1 90+
2021-10-07,0,116,35,81,55,31,
2021-10-08,2,130,39,91,58,30,ZONE 1 80-89 zone 5 90+
2021-10-09,0,100,29,71,56,23,
2021-10-10,2,73,20,53,53,22,zone 1 70-79 zone 3 80-89
2021-10-11,1,98,42,56,56,20,zone 2 70-79
2021-10-12,0,109,32,77,63,27,
2021-10-13,5,82,41,41,68,27,zone 2 60-69 zone 3 50-50 zone 3 80-89 zone 5 80-89 zone 6 80-89
2021-10-14,2,133,48,85,63,19,zone 3 70-79 zone 7 90+
2021-10-15,2,87,61,26,60,18,zone 3 90+ zone 4 70-79
2021-10-16,3,66,30,36,54,17,zone 1 80-89 zone 1 90+ zone 7 90+
2021-10-17,3,58,20,38,57,18,zone 5 2x40-49 80-89
2021-10-18,1,53,13,40,61,20,zone 5 70-79
2021-10-19,3,50,18,38,57,18,zone 1 90+ zone 4 90+ zone 5 80-89
2021-10-20,5,69,30,39,55,16,zone 1 90+ zone 1 60-69 zone 5 80-89 zone 6 2x60-69
2021-10-21,2,67,25,42,55,16,zone 1 80-89 zone 5 70-79
2021-10-22,5,40,9,31,50,15,zone 1 2x60-69 70-79 80-89 zone 5 70-79
2021-10-23,1,40,14,26,43,13,zone 4 70-79
2021-10-24,1,51,16,35,41,11,zone 1 80-89
2021-10-25,3,22,11,11,39,14,zone 1 40-49 zone 4 80-89 zone 5 80-89
2021-10-26,0,21,8,13,40,14,
2021-10-27,1,57,26,31,33,15,zone 1 90+
